Name,Date_of_Birth,Image_URL
Mario,1981-09-13,https://upload.wikimedia.org/wikipedia/commons/8/83/Mario_%28character%29.png
Lara Croft,1996-10-25,https://upload.wikimedia.org/wikipedia/commons/a/a3/Lara_Croft_%28character%29.png
Sonic,1991-06-23,https://upload.wikimedia.org/wikipedia/commons/a/a1/Sonic_the_Hedgehog.png
Samus Aran,1986-08-15,https://upload.wikimedia.org/wikipedia/commons/7/74/Samus_Aran.png
Link,1986-02-21,https://upload.wikimedia.org/wikipedia/commons/a/a9/Link_%28The_Legend_of_Zelda%29.png
Donkey Kong,1994-11-01,https://upload.wikimedia.org/wikipedia/commons/7/7b/Donkey_Kong_character.png
Master Chief,2001-11-15,https://upload.wikimedia.org/wikipedia/commons/2/2a/Master_Chief.png
Kirby,1992-04-01,https://upload.wikimedia.org/wikipedia/commons/f/f8/Kirby_Character_Artwork.png
Kratos,2005-03-02,https://upload.wikimedia.org/wikipedia/commons/9/97/Kratos_from_God_of_War.png
Pac-Man,1980-11-29,https://upload.wikimedia.org/wikipedia/commons/6/6e/Pac-Man.png
Mega Man,1987-09-09,https://upload.wikimedia.org/wikipedia/commons/e/e0/Mega_Man_Character_Artwork.png
Street Fighter Ryu,1987-08-12,https://upload.wikimedia.org/wikipedia/commons/4/4a/Ryu_%28Street_Fighter%29.png
Nathan Drake,2007-10-22,https://upload.wikimedia.org/wikipedia/commons/c/c9/Nathan_Drake.png
Ash Ketchum,1997-04-01,https://upload.wikimedia.org/wikipedia/commons/a/a4/Ash_Ketchum.png
Zelda,1992-11-21,https://upload.wikimedia.org/wikipedia/commons/4/43/Princess_Zelda_-_The_Legend_of_Zelda.png
Aloy,2017-02-28,https://upload.wikimedia.org/wikipedia/commons/6/6c/Aloy_from_Horizon_Zero_Dawn.png
Geralt of Rivia,2009-10-06,https://upload.wikimedia.org/wikipedia/commons/4/47/Geralt_of_Rivia.png
Cloud Strife,1997-03-06,https://upload.wikimedia.org/wikipedia/commons/9/97/Cloud_Strife_character_art.png
Pikachu,1996-08-16,https://upload.wikimedia.org/wikipedia/commons/9/9c/Pikachu.png
Rayman,1995-12-12,https://upload.wikimedia.org/wikipedia/commons/0/0d/Rayman_character.png
